name,category,address,phone,fax,source_url,notes
Bruce Yong D.C.,Chiropractor,"(Santa Barbara, CA)",805-685-8400,805-569-2121,https://bruceyong.dr-leonardo.com/,
Paveloff Vision Center,Optometry/Ophthalmology,"1532 Anacapa St., Suite 5, Santa Barbara, CA 93101",805-682-4459,805-682-5355,https://paveloffvisioncenter.com/about-us/meet-dr-paveloff/,
Herbay Pharmacy,Pharmacy,"5340 Hollister Ave, Santa Barbara, CA 93111",805-725-5400,805-718-8080,https://herbaypharmacy.com/,
Santa Barbara Medicine Shoppe,Pharmacy,"3605 State St, Santa Barbara, CA 93105",,805-569-1617,https://santabarbara.medicineshoppe.com/contact,
Hotel Santa Barbara,Hotel,"533 State Street, Santa Barbara, CA 93101",805-957-9300,805-962-2412,https://www.hotelsantabarbara.com/contact-us,
Best Western Plus Santa Barbara,Hotel,"2220 Bath Street, Santa Barbara, CA 93105",805-682-7277,805-563-9319,https://www.sbhotels.com/contact,
Brisas del Mar,Hotel,"223 Castillo Street, Santa Barbara, CA 93101",805-966-2219,805-962-9428,https://www.sbhotels.com/contact,
Lavender Inn by the Sea,Hotel,"206 Castillo Street, Santa Barbara, CA 93101",805-963-4317,805-962-9428,https://www.sbhotels.com/contact,Shares fax with Brisas del Mar (sister property)
Brian Smith Engineering Associates,Engineering - Electrical,"920 De La Vina Street, Santa Barbara, CA 93101",805-966-2877,805-966-2628,https://smithengineering.net/,Search returned 895- prefix likely a typo for 805-
Ashley & Vance Engineering,Engineering - Civil/Structural,"15 W Figueroa St, Santa Barbara, CA 93101",805-962-9966,805-962-9965,https://ashleyvance.com/santa-barbara/,
California Dermatology Group,Medical - Dermatology,"2323 Oak Park Lane, Suite 202, Santa Barbara, CA 93105",805-892-8111,805-892-8333,https://www.cadermgroup.com/contact,
Aloe Dermatology (Santa Barbara office),Medical - Dermatology,"(Santa Barbara, CA)",805-884-4900,805-456-8118,https://www.aloedermatology.com/,
LUX Dermatology (Santa Barbara office),Medical - Dermatology,"5333 Hollister Ave STE 105, Santa Barbara, CA 93111",805-770-8400,805-770-8402,https://luxdermatologists.com/locations/santa-barbara-ca,
White & Grube Orthodontics,Orthodontics,"122 S. Patterson #A-117, Santa Barbara, CA 93111",805-962-7441,805-965-1122,https://www.whiteandgrube.com/contact-us,
SB Orthodontics,Orthodontics,"2780 State St, Ste #4, Santa Barbara, CA",805-687-5561,805-687-0810,https://www.sborthodontics.com/contact,
McDade Orthodontics (Santa Barbara),Orthodontics,"(Santa Barbara, CA)",805-957-1137,805-380-2144,https://mcdadeorthodontics.com/contact-mcdade-orthodontics/santa-barbara-ca-orthodontics-office-for-braces/,
Alta Orthopaedics,Medical - Orthopedic surgery,"510 Castillo Street, Suite 203, Santa Barbara, CA 93101",805-963-9377,805-962-2154,https://www.altaortho.com/location/ca/santa-barbara,
Tremblay Financial Services,Financial services,"(Santa Barbara, CA)",805-569-1982,805-569-5767,https://tremblayfinancial.com/,
Monarch Wealth Strategies,Financial services - Wealth management,"222 E. Carrillo St., Suite 208, Santa Barbara, CA 93101",805-564-0800,805-564-0808,https://www.mwsus.com/,
Wells Fargo Advisors (Santa Barbara branch),Financial services,"3660 State Street, Santa Barbara, CA 93105",805-963-9561,805-564-3208,https://home.wellsfargoadvisors.com/001_8V,
Morgan Stanley Wealth Management (Santa Barbara),Financial services - Wealth management,"1332 Anacapa Street 2nd Floor, Santa Barbara, CA 93101",805-564-7985,805-433-9242,https://advisor.morganstanley.com/sabrina.kranz,
Santa Barbara Foundation,Non-profit foundation,"1111 Chapala Street, Suite 200, Santa Barbara, CA 93101",805-963-1873,805-966-2345,https://sbfoundation.org/contact/,
WFG National Title (Santa Barbara office),Title insurance/Escrow,"126 East Carrillo Street, Unit 4 & 5, Santa Barbara, CA 93101",805-687-1700,805-687-1711,https://wfgtitle.com/santa-barbara-office/,
"Lisa Lepine, MD (Cottage Health OBGYN)",Medical - OBGYN,"2416 Castillo St., Unit A, Santa Barbara, CA 93105",805-324-9400,805-749-2922,https://www.cottagehealth.org/find-a-doctor/profile/lisa-lepine-santa-barbara-obstetrics-gynecology-obgyn/,
"Susanne Ramos, MD - Ramos Women's Wellness Center",Medical - OBGYN,"2320 Bath St., Suite 317, Santa Barbara, CA 93105",805-898-4443,805-682-7265,https://www.ramoswomenswellness.com/contact-us,
UCLA Health Santa Barbara Cardiology & Electrophysiology,Medical - Cardiology,"504 W. Pueblo Street, Suite 101, Santa Barbara, CA 93105",805-845-5305,805-845-6469,https://www.uclahealth.org/locations/santa-barbara-cardiology,
Montecito Cardiology (UCLA Health),Medical - Cardiology,"1187 Coast Village Road, Suite 10B, Montecito, CA 93108",805-565-0020,805-565-0023,https://www.uclahealth.org/providers/stephen-vampola,Montecito (Santa Barbara metro)
PathPoint Santa Barbara Behavioral Health Counseling Center,Mental health - Counseling,"(Santa Barbara, CA)",805-966-3310,805-966-5582,https://www.pathpoint.org/services/counseling-center/,
"Sherif Elasyouty, M.D.",Medical - Psychiatry,"334 South Patterson Avenue, Suite 120, Santa Barbara, CA 93111",805-884-4989,805-882-2220,https://drasyouty.com/,
Riviera ENT,Medical - ENT,"1819 State St, Ste A, Santa Barbara, CA 93101",805-327-6673,707-343-9501,https://www.rivieraent.com/,Fax in 707 area code is unusual; may be a corporate eFax
Santa Barbara ENT,Medical - ENT,"2420 Castillo St., Suite 200, Santa Barbara, CA 93105",805-563-1999,805-563-4999,https://mysbent.com/contact-us/,
Dr. Rabindra Braganza (ENT),Medical - ENT,"4151 Foothill Rd, Santa Barbara, CA 93110",805-681-7500,805-681-1768,https://www.doximity.com/pub/rabindra-braganza-md,
"Dr. Gary Van Deventer, MD",Medical - Gastroenterology,"504 W. Pueblo #201, Santa Barbara, CA 93105",805-563-0024,805-563-1454,https://www.doximity.com/pub/gary-van-deventer-md-1239eeaf,
Santa Barbara Gastroenterology Consultants (Brent Kovacs MD),Medical - Gastroenterology,"2403 Castillo St., Ste. 201, Santa Barbara, CA 93105",805-682-3585,844-407-0580,https://www.cottagehealth.org/find-a-doctor/profile/brent-kovacs-santa-barbara-gastroenterology/,
"Dr. Vincent P. DeRosa, M.D.",Medical - Gastroenterology,"317 West Pueblo Street, Santa Barbara, CA 93105",805-898-3120,805-898-3491,https://www.sutterhealth.org/find-provider/dr-vincent-derosa-1090093496,
Urology Specialists of Santa Barbara,Medical - Urology,"5333 Hollister Ave., Suite 275, Santa Barbara, CA 93111",805-687-7719,805-284-0516,https://urologysantabarbara.com/contact-1,
UCLA Health Santa Barbara Cancer Care,Medical - Oncology,"111 E. Victoria St., Floor 3, Santa Barbara, CA 93101",805-563-0041,805-563-0051,https://www.uclahealth.org/locations/santa-barbara-cancer-care,
Allergy Asthma and Immunology Care Center of Santa Barbara,Medical - Allergy/Immunology,"2320 Bath St., Suite 303, Santa Barbara, CA 93105",805-682-7385,805-569-3891,https://www.allergyasthmasb.com/contact-dr-tubiolo,
UCLA Health Santa Barbara Primary & Specialty Care,Medical - Internal medicine/Rheumatology,"111 East Victoria Street, Floor 2, Santa Barbara, CA 93101",805-564-3233,805-564-3236,https://www.uclahealth.org/locations/santa-barbara-primary-specialty-care,
Foot & Ankle Concepts (Santa Barbara),Medical - Podiatry,"302 N Milpas St, Santa Barbara, CA 93105",805-845-1245,805-309-5212,https://www.footsurgeon.com/offices/santa-barbara-podiatry-office-santa-barbara-podiatrists.cfm,
Surgical Arts On State (Howard Gross MD),Medical - Plastic surgery,"(Santa Barbara, CA)",805-898-2600,805-898-2604,https://surgicalartsonstate.com/,
Santa Barbara Plastic Surgery Center (Wesley Schooler MD),Medical - Plastic surgery,"222 Pueblo Street, Suite A, Santa Barbara, CA 93105",805-687-7336,805-687-9491,https://www.sbplasticsurgery.com/contact-us/,
Assisted Home Health & Hospice (Suite 201),Home health & hospice,"115 E Micheltorena St., Suite 201, Santa Barbara, CA 93101",805-569-2000,805-569-1948,https://assistedcares.com/areas-we-serve/california/santa-barbara/,
Assisted Home Health & Hospice (Suite 100),Home health & hospice,"115 E Micheltorena St., Suite 100, Santa Barbara, CA 93101",805-722-1181,805-722-1459,https://assistedcares.com/areas-we-serve/california/santa-barbara/,
Hospice of Santa Barbara,Hospice,"2050 Alameda Padre Serra, Suite 100, Santa Barbara, CA 93103",805-563-8820,805-563-8821,https://www.hospiceofsb.org/contact,
Central Coast Home Health (Santa Barbara office),Home health,"4213 State St., Suite 202, Santa Barbara, CA 93110",805-543-2244,805-543-2224,https://centralcoasthomehealth.com/index.php/contact-us/,
Central Coast Hospice (Santa Barbara office),Hospice,"4213 State St., Suite 202, Santa Barbara, CA 93110",805-540-6020,805-540-6025,https://centralcoasthomehealth.com/index.php/contact-us/,
Adams Employment Law (Santa Barbara office),Law firm - Employment,"(Santa Barbara, CA)",805-845-9630,805-845-9634,https://adamsemploymentlaw.com/,
"Scott H. Walther, Inc. & Santa Barbara Bookkeeping, Inc.",Accounting - Bookkeeping,"(Santa Barbara, CA)",805-504-1600,805-963-2562,https://accountingsb.com/,
SB Physio,Physical therapy,"41 Hitchcock Way, Santa Barbara, CA 93105",805-682-2536,805-682-1281,https://www.sbphysio.com/contact,
Kineci Health in Motion,Physical therapy,"1731 State St Suite B, Santa Barbara, CA 93101",805-284-9449,805-284-9449,https://kineci.com/,Same number for phone & fax
Muller and Weber Physical Therapy,Physical therapy,"2324 Bath Street, Suite A, Santa Barbara, CA 93105",805-682-3870,805-569-3860,https://www.mulwebpt.com/,
Santa Barbara Pest Control,Pest control,"719 East Haley St., Santa Barbara, CA 93103",805-563-8888,805-563-8890,https://www.santabarbarapestcontrol.com/,
Santa Barbara County Federal Credit Union (SB branch),Banking - Credit union,"2623 De La Vina St, Santa Barbara, CA 93105",805-682-3357,805-682-0203,https://www.sbcreditunion.com/,
Santa Barbara Pet Hospital,Veterinary,"1807 Cliff Drive, Santa Barbara, CA 93109",805-963-1544,805-963-0826,https://www.sbpethosp.com/,
Valley Hearing Center,Audiology,"215 W Pueblo St, Santa Barbara, CA",805-563-1134,805-563-8388,https://npino.com/audiologist/1427108117-valley-hearing-center/,
Dodero Hearing Center,Audiology,"1801 State St, #A, Santa Barbara, CA 93101",805-687-4508,805-687-5879,https://www.healthyhearing.com/hearing-aids/CA-California/Santa-Barbara,
Down to Earth Landscapes Inc.,Landscaping,"(Santa Barbara, CA 93101)",805-765-2553,805-966-4518,http://www.downtoearthlandscapesinc.com/,
Santa Barbara Security Systems,Security systems,"(Santa Barbara, CA)",,805-740-2968,http://www.sbsecuritysystems.net/contact.html,
Santa Barbara Sleep Clinic,Medical - Sleep medicine,"(Santa Barbara, CA)",805-681-7378,805-681-7376,http://www.sbsleepclinic.com/contact/,
Pacific Pain Physicians (Santa Barbara),Medical - Pain management,"(Santa Barbara, CA 93105)",,805-563-0364,https://www.pacificpainphysicians.com/location/ca/santa-barbara,
The Spine and Orthopedic Center Santa Barbara,Medical - Spine/Orthopedic,"(Santa Barbara, CA)",805-563-3307,805-563-0998,https://www.spineandorthocenter.com/santa-barbara-office.html,
Lara's Auto Repair,Auto repair,"(Santa Barbara, CA)",805-963-1096,805-963-1050,http://www.larasautorepair.com/,
"Berti Spechler Sarmiento McKay & Co. LLP",Accounting - CPA,"1933 Cliff Drive, Suite 26, Santa Barbara, CA 93109",805-963-0571,805-966-6241,http://bssmco.com/contact.php,
Enrico & Associates Certified Public Accountants,Accounting - CPA,"1809 Cliff Drive, Suite E, Santa Barbara, CA 93109",805-969-4764,805-969-1325,http://www.santabarbaracpas.com/contactus.php,
Cordero Painting Company,Painting contractor,"(Santa Barbara, CA)",,805-962-8823,https://www.corderopainting.com,Contractor License #633706
Pacific Tree Service,Tree service / Arborist,"P.O. Box 4305, Santa Barbara, CA 93140",805-962-8317,805-962-4217,http://www.pacifictree.com/,
NALS Apartment Homes,Property management - Apartments,"920 Garden Street, Suite A, Santa Barbara, CA 93101",805-963-2884,805-963-9885,https://www.nals.com/property-management.aspx,
Santa Barbara Towing,Towing service,"218 E. Ortega Street, Santa Barbara, CA 93101",805-892-4475,805-965-1817,http://www.sbtowing.com/,
Hayward's,Furniture store - Patio,"7 Parker Way, Santa Barbara, CA 93101",,805-966-0917,https://haywards.myshopify.com/pages/location,
Santa Barbara Marine Services,Marine - Boat repair,"117G Harbor Way, Santa Barbara, CA 93109",,805-566-6644,http://www.sb-marineservices.com/contact,
MarBorg Industries,Waste & recycling,"728 E Yanonali Street, Santa Barbara, CA 93140",805-963-1852,805-962-0552,https://sustainability.santabarbaraca.gov/utilities/trash-recycling,
Foodbank of Santa Barbara County (South County administration),Non-profit - Food bank,"82 Coromar Drive, Goleta, CA 93117",805-967-5741,805-683-4951,https://foodbanksbc.org/contact-us/,South County admin office (Goleta)
Catholic Charities of Santa Barbara,Non-profit - Social services,"(Santa Barbara, CA)",805-551-6746,805-963-2978,https://womensfundsb.org/organization/catholic-charities-santa-barbara,
Santa Barbara South Coast Chamber of Commerce,Business association,"5662 Calle Real Ste 204, Goleta, CA 93117",,805-967-4615,https://sbscchamber.com/,Headquartered in Goleta but represents SB region
Reid's Appliances,Appliance retail,"409 Anacapa Street, Santa Barbara, CA 93101",805-569-5373,805-569-0482,https://www.reidsappliances.com/,Family owned since 1966
Corporate Telecom,Telecommunications,"(Santa Barbara, CA)",805-217-8457,805-345-2057,https://www.corporatetelecom-ca.com/,
Goleta Valley Self Storage,Self storage,"5425 Overpass Road area, Goleta, CA",,805-964-6375,https://www.gvsstorage.com/,Goleta location of GVS
Architectural Millwork of Santa Barbara,Cabinetry - Custom millwork,"P.O. Box 4699, Santa Barbara, CA 93140",805-965-7011,805-564-8466,https://www.archmill.com/,Custom cabinetry since 1969
Forte Stone,Stone & countertop fabrication,"6464 Hollister Avenue, Suite 6, Goleta, CA 93117",805-685-6202,805-685-6204,https://fortestone.com/,
Santa Barbara Roasting Company,Coffee roaster / wholesale,"321 Motor Way, Santa Barbara, CA 93101",805-962-0320,805-962-2590,https://www.sbcoffee.com/,
Santa Barbara Loan & Jewelry,Pawn / jewelry,"136 E Victoria Street, Santa Barbara, CA 93101",805-966-6264,805-966-4774,https://www.yelp.com/biz/santa-barbara-loan-and-jewelry-santa-barbara,
BBSI Santa Barbara,PEO / payroll / HR,"110 Castilian Drive Suite 201, Santa Barbara/Goleta, CA 93117",805-335-8325,805-439-1289,https://www.bbsi.com/locations/santabarbara,
SBF Payroll,Payroll services,"P.O. Box 4346, Santa Barbara, CA 93140",,888-723-2439,https://www.sbfpayroll.com/,Toll-free fax
First Presbyterian Church of Santa Barbara,Religious organization,"(Santa Barbara, CA)",,805-687-5421,https://pcusa.org/congregation/first-church-santa-barbara-ca,
Mike The Bag Man,Restaurant / janitorial supply,"(Santa Barbara, CA)",805-698-7286,805-845-5480,http://www.mikethebagman.com/,
"Kamran & Co., Inc. (Chef's Bazaar)",Restaurant supply,"411 E. Montecito Street, Santa Barbara, CA 93101",805-963-3016,805-962-5915,https://www.santabarbarayp.com/,
Santa Barbara Yacht Charters,Boat charter,"(Santa Barbara, CA)",805-452-7052,805-963-0178,https://www.santabarbarayachtcharters.com/,

